spp,stand,plot,code,dbh,logs,cond,cut
ash,3,708,1,18,2239,2,
hard maple,,,9,22,9,5,
hard maple,,,9,42,9,5,
hard maple,,,9,28,39,5,
hard maple,,,9,26,39,5,
hard maple,,,9,26,9,5,
hard maple,,,9,27,29,3,
hard maple,,709,9,2,,2,
aspen,,,2,7,,3,
aspen,,,2,4,,3,
hard maple,,,9,3,,1,
aspen,,,2,10,,3,
aspen,,,2,8,,3,
ash,,,1,3,,2,
aspen,,,2,5,,3,
ash,,,1,18,22239,2,
hard maple,,,9,22,22239,2,
hard maple,,,9,32,9,5,
cedar,,710,7,10,2222,2,
cedar,,,7,13,5222,3,
cedar,,,7,8,222,2,
cedar,,,7,12,2222,2,
cedar,,,7,14,2222,2,
cedar,,,7,12,2222,2,
cedar,,,7,11,2222,2,
cedar,,,7,14,522222,3,
cedar,,,7,15,23322,3,
cedar,,,7,14,222222,2,
cedar,,,7,14,222222,2,
fir,,,3,4,2222,2,
hemlock,,,10,11,22222,2,
fir,,,3,6,2222,2,
fir,,,3,6,2222,2,
yellow birch,5,810,23,13,229,3,
hard maple,,,9,13,12229,1,
ash,,,1,20,2222229,4,
hard maple,,,9,16,2229,2,
hard maple,,,9,16,3252239,4,
hard maple,,,9,15,252339,3,
ash,,,1,19,222229,2,
beech,,,5,16,339,5,
hard maple,,,9,18,229,3,
hard maple,,,9,20,22239,2,
beech,,,5,16,3339,5,
hard maple,,,9,23,122239,1,
ash,,910,1,16,22239,3,
hard maple,,,9,23,33339,5,
hard maple,,,9,6,1359,3,
hard maple,,,9,21,9,5,
hard maple,,,9,6,22339,3,
yellow birch,,,23,8,232239,3,
yellow birch,,,23,16,229,3,
yellow birch,,,23,10,123339,3,
ash,,,1,18,2222229,2,
yellow birch,,,23,10,229,3,
yellow birch,,,23,11,222339,2,
ash,,,1,12,222239,3,
yellow birch,,,23,10,112239,2,
beech,,909,5,6,9,5,
hard maple,,,9,21,9,5,
hard maple,,,9,21,22323,3,
hard maple,,,9,21,3539,5,
beech,,,5,8,333,5,
hard maple,,,9,16,39,5,
ash,,,1,9,9,5,
hemlock,,,10,10,2229,3,
basswood,,,4,12,222229,3,
hard maple,,,9,27,3339,5,
hemlock,,,10,16,2239,3,
hard maple,,,9,26,239,3,
hard maple,,,9,21,229,3,
hard maple,,,9,16,25339,3,
hard maple,,,9,18,2229,3,
white pine,4,809,22,32,222239,2,
cedar,,,7,12,222222,2,
cedar,,,7,10,222222,2,
cedar,,,7,9,22229,3,
cedar,,,7,10,22222,3,
cedar,,,7,9,222222,2,
cedar,,,7,6,22222,3,
cedar,,,7,8,222222,2,
cedar,,,7,8,222222,2,
cedar,,,7,6,22222,3,
cedar,,,7,9,222222,2,
cedar,,,7,11,2222222,2,
cedar,,,7,9,222222,2,
aspen,,,2,12,2333239,3,
cedar,,,7,6,22222,3,
cedar,,,7,10,2222222,2,
cedar,,,7,12,22229,3,
white pine,,,22,20,2222222233,2,
cedar,,,7,12,2222222,2,
cedar,,,7,9,222222,2,
cedar,,,7,8,22222,2,
cedar,,,7,8,32229,3,
cedar,,,7,8,222222,2,
cedar,,,7,10,222222,2,
cedar,,,7,8,22222,2,
cedar,,,7,9,222222,2,
cedar,,,7,9,22229,3,
cedar,,,7,12,2222222,2,
cedar,,,7,10,522222,3,
white pine,,,22,13,2222222,2,
yellow birch,,808,23,23,239,3,
cedar,,,7,11,22229,3,
cedar,,,7,8,22222,2,
cedar,,,7,13,5229,3,
cedar,,,7,10,529,3,
ash,,,1,4,22229,3,
cedar,,,7,12,2222222,2,
ash,,,1,7,9,5,
cedar,,,7,10,2222,6,
cedar,,,7,9,22222,2,
cedar,,,7,12,222222,2,
cedar,,,7,9,222222,2,
cedar,,,7,11,222222,2,
cedar,,,7,7,22229,3,
cedar,,,7,11,229,3,
fir,,,3,8,9,5,
cedar,,,7,8,222222,3,
hemlock,,,10,11,229,3,
cedar,,,7,12,229,3,
cedar,,,7,14,222222,2,
beech,5,908,5,12,33339,5,
hard maple,,,9,20,22223,2,
hard maple,,,9,11,2233,3,
yellow birch,,,23,14,22229,3,
yellow birch,,,23,18,22339,3,
hard maple,,,9,14,3239,3,
hemlock,,,10,9,222,2,
hemlock,,,10,24,222229,3,
hard maple,,,9,10,1239,2,
yellow birch,,,23,15,9,5,
hard maple,,,9,16,229,3,
yellow birch,,,23,16,2239,3,
hard maple,,,9,13,239,3,
hard maple,,,9,18,2229,3,
hemlock,,,10,11,22,3,
hard maple,,,9,15,2239,3,
hard maple,,,9,18,252529,3,
hard maple,,,9,12,2239,3,
hemlock,,,10,10,222,2,
cedar,3,907,7,12,622222,3,
cedar,,,7,11,622222,3,
cedar,,,7,13,22232,3,
cedar,,,7,18,22222222,2,
cedar,,,7,16,2222222,2,
yellow birch,,,23,8,2222,2,
aspen,,,2,12,22229,6,
ash,,,1,7,23229,3,
fir,,,3,10,22222,2,
fir,,,3,12,222222,6,
ash,,,1,9,29,3,
cedar,,,7,14,32222222,2,
yellow birch,,,23,20,9,5,
hard maple,,807,9,15,22239,2,
hard maple,,,9,15,1239,2,
hard maple,,,9,20,22229,2,
hemlock,,,10,12,239,3,
hard maple,,,9,12,2329,3,
hemlock,,,10,14,2222,3,
hard maple,,,9,20,22339,2,
hard maple,,,9,10,12229,2,
hard maple,,,9,10,229,3,
hard maple,,,9,14,2239,2,
hemlock,,,10,9,222,3,
hard maple,,,9,13,222229,2,
hard maple,,,9,14,222239,2,
hemlock,,,10,12,329,3,
hemlock,,,10,20,22222223,2,
hemlock,,,10,23,22229,3,
hemlock,,,10,20,2222229,3,
hemlock,,,10,23,2222222,3,
hemlock,,,10,10,22222,2,
white pine,6,214,22,23,22239,3,
white pine,,,22,26,25522,3,
white pine,,,22,13,229,3,
white pine,,,22,28,2266222,3,
fir,,215,3,12,222222,2,
spruce,,,18,11,2222222,2,
spruce,,,18,13,22222222,2,
soft maple,,,17,14,2339,3,
soft maple,,,17,10,39,5,
black cherry,,,6,14,229,3,
spruce,,,18,13,222222,3,
paper birch,,,13,16,2229,3,
yellow birch,7,216,23,17,2629,3,
hemlock,,,10,16,22222,3,
hemlock,,,10,18,222222,2,
yellow birch,,,23,7,2229,2,
hemlock,,,10,20,22222222,2,
hemlock,,,10,16,112222,2,
yellow birch,,,23,7,22229,3,
yellow birch,,,23,16,529,3,
hemlock,,,10,5,22,2,
yellow birch,,,23,6,11229,3,
yellow birch,,,23,8,12229,3,
yellow birch,,,23,9,2229,3,
hemlock,,,10,14,2222222,3,
hemlock,,,10,12,22229,3,
ash,,,1,12,222339,3,
hemlock,,,10,18,22222222,2,
hard maple,,,9,9,122239,2,
hemlock,,,10,12,2222222,3,
hard maple,,,9,11,3229,3.0000,
hemlock,,,10,12,2229,3.0000,
hard maple,,217,9,17,21239,2.0000,
soft maple,,,17,19,22239,2.0000,
paper birch,,,13,16,339,5.0000,
paper birch,,,13,15,229,3.0000,
soft maple,,,17,14,222339,3.0000,
spruce,,,18,5,22,3.0000,
soft maple,,,17,16,9,5.0000,
hard maple,,,9,14,2229,2.0000,
soft maple,,,17,15,32239,3.0000,
yellow birch,,,23,12,2229,3.0000,
hemlock,,,10,12,22,3.0000,
soft maple,,,17,15,9,5.0000,
hard maple,,,9,15,2129,2.0000,
hophornbeam,,117,12,8,9,5.0000,
fir,,,3,10,22222,2.0000,
fir,,,3,10,229,3.0000,
paper birch,,,13,15,229,2.0000,
paper birch,,,13,17,1229,2.0000,
fir,,,3,9,2222,2.0000,
paper birch,,,13,16,229,2.0000,
yellow birch,,,23,8,2239,3.0000,
yellow birch,,,23,8,223,3.0000,
yellow birch,,,23,14,329,3.0000,
spruce,,,18,15,222222,2.0000,
paper birch,,,13,16,2239,3.0000,
yellow birch,,,23,17,229,3.0000,
yellow birch,,,23,15,2339,3.0000,
soft maple,2.0000,204,17,7,229,3.0000,
cedar,,,7,12,22229,2.0000,
cedar,,,7,16,5223,3.0000,
fir,,,3,7,22222,2.0000,
cedar,,,7,13,329,3.0000,
cedar,,,7,18,9,5.0000,
soft maple,,,17,6,222,2.0000,
black cherry,,,6,14,9,5.0000,
cedar,,,7,12,529,3,
