"","plot","spp","dbh","logs","cond","tpa"
"1",20,"yellow birch",6,"122",4,50.9310190278287
"2",20,"yellow birch",8,"129",4,28.6486982031536
"3",20,"yellow birch",6,"1129",1,50.9310190278287
"4",20,"yellow birch",9,"229",2,22.6360084568128
"5",21,"beech",3,"22",2,203.724076111315
"6",21,"striped maple",3,"9",5,203.724076111315
"7",21,"ash",11,"222239",2,15.1530304545606
"8",21,"fir",8,"222222",3,28.6486982031536
"9",21,"yellow birch",8,"29",3,28.6486982031536
"10",9,"striped maple",5,"9",5,73.3406674000733
"11",9,"striped maple",7,"9",5,37.4187078571803
"12",9,"striped maple",6,"9",5,50.9310190278287
"13",9,"striped maple",4,"9",5,114.594792812615
"14",9,"striped maple",7,"9",5,37.4187078571803
"15",9,"fir",7,"222222",2,37.4187078571803
"16",9,"ash",8,"22239",2,28.6486982031536
"17",9,"ash",12,"22229",2,12.7327547569572
"18",9,"ash",7,"52222",2,37.4187078571803
"19",10,"fir",11,"222222",2,15.1530304545606
"20",10,"other hardwood",4,"9",5,114.594792812615
"21",10,"paper birch",5,"122",2,73.3406674000733
"22",10,"paper birch",4,"1129",4,114.594792812615
"23",11,"paper birch",7,"11559",4,37.4187078571803
"24",11,"paper birch",10,"5229",3,18.3351668500183
"25",11,"paper birch",5,"112",2,73.3406674000733
"26",11,"yellow birch",6,"9",5,50.9310190278287
"27",11,"hard maple",2,"11",2,458.379171250458
"28",11,"paper birch",7,"1239",2,37.4187078571803
"29",11,"paper birch",8,"11529",1,28.6486982031536
"30",11,"paper birch",4,"112",4,114.594792812615
"31",11,"paper birch",5,"2222",4,73.3406674000733
"32",11,"other hardwood",6,"9",5,50.9310190278287
"33",11,"other hardwood",7,"9",5,37.4187078571803
"34",11,"yellow birch",6,"223",3,50.9310190278287
"35",12,"hard maple",3,"22",3,203.724076111315
"36",13,"fir",5,"22",2,73.3406674000733
"37",13,"yellow birch",8,"2239",3,28.6486982031536
"38",13,"yellow birch",7,"2533",3,37.4187078571803
"39",13,"hard maple",2,"1",2,458.379171250458
"40",14,"yellow birch",2,"11",2,458.379171250458
"41",14,"fir",8,"222222",2,28.6486982031536
"42",14,"ash",9,"2259",2,22.6360084568128
"43",14,"yellow birch",10,"1229",1,18.3351668500183
"44",14,"yellow birch",2,"1",2,458.379171250458
"45",14,"ash",12,"22229",2,12.7327547569572
"46",14,"ash",12,"22229",2,12.7327547569572
"47",14,"ash",8,"559",6,28.6486982031536
"48",18,"ash",9,"2229",3,22.6360084568128
"49",18,"ash",12,"22229",2,12.7327547569572
"50",18,"yellow birch",5,"11",2,73.3406674000733
"51",18,"yellow birch",4,"11",2,114.594792812615
"52",18,"yellow birch",5,"12",2,73.3406674000733
"53",19,"aspen",9,"2322",2,22.6360084568128
"54",19,"ash",8,"2222",2,28.6486982031536
"55",19,"ash",9,"229",3,22.6360084568128
"56",19,"yellow birch",3,"22",3,203.724076111315
"57",19,"paper birch",8,"19",2,28.6486982031536
"58",19,"yellow birch",4,"23",3,114.594792812615
"59",19,"yellow birch",5,"229",3,73.3406674000733
"60",19,"aspen",9,"229",3,22.6360084568128
"61",19,"yellow birch",5,"31",3,73.3406674000733
"62",19,"aspen",11,"222",2,15.1530304545606
"63",19,"paper birch",4,"122",3,114.594792812615
"64",19,"paper birch",4,"112",2,114.594792812615
"65",19,"hard maple",4,"11",2,114.594792812615
