spp,stand,plot,code,plot,logs,cond,cut
HEMLOCK,3,26,10,15,2.5,4,1
WHITE PINE,,,22,18,3.5,1,
HEMLOCK,,,10,14,1,3,
ASH,,,1,8,,5,1
YELLOW BIRCH,,,23,15,1,3,
HEMLOCK,,,10,15,2.5,3,
BALSAM FIR,,,3,14,2.5,3,1
ASH,,,1,13,,5,1
HEMLOCK,,,10,17,3,2,
BEECH,,,5,7,,5,1
SOFT MAPLE,,,17,12,1,2,
SPRUCE,,,18,17,3,1,
YELLOW BIRCH,2,27,23,16,1.5,4,
HARD MAPLE,,,9,10,,1,
HARD MAPLE,,,9,14,1,3,
ASH,,,1,16,2.5,2,
PAPER BIRCH,,,13,15,1.5,2,
HARD MAPLE,,,9,13,1.5,2,
PAPER BIRCH,,,13,14,1,3,
PAPER BIRCH,3,28,13,8,,3,
SOFT MAPLE,,,17,12,1.5,2,
PAPER BIRCH,,,13,6,,5,
WHITE PINE,,,22,24,4,1,
HEMLOCK,,,10,18,2,3,
WHITE PINE,,,22,29,4.5,1,
SOFT MAPLE,,,17,10,,6,
SOFT MAPLE,,,17,12,,6,
SOFT MAPLE,,,17,6,,5,
HARD MAPLE,,,9,12,2,2,
HARD MAPLE,,,9,15,1.5,1,
SPRUCE,,23,18,9,1,3,1
SOFT MAPLE,,,17,7,,6,1
SPRUCE,,,18,8,,2,
SPRUCE,,,18,7,,2,
SPRUCE,,,18,6,,3,1
SPRUCE,,,18,8,,4,1
WHITE PINE,,,22,19,2,2,
SPRUCE,,,18,10,2.5,1,
SPRUCE,,,18,11,2,4,1
SOFT MAPLE,,,17,11,,5,1
SPRUCE,,,18,10,2,3,1
SPRUCE,,,18,8,,2,
SOFT MAPLE,,,17,10,,3,1
SPRUCE,,,18,7,,2,1
SPRUCE,,,18,12,2.5,2,
SPRUCE,,,18,8,,3,1
SPRUCE,,,18,7,,3,1
SPRUCE,,,18,6,,6,1
SPRUCE,,,18,7,,3,1
SPRUCE,,,18,10,2,1,
WHITE PINE,,,22,22,4,1,
WHITE PINE,,,22,24,4,1,
SPRUCE,,,18,14,2,6,1
HARD MAPLE,,,9,8,,2,
WHITE PINE,,,22,16,3,1,
ASH,2,24,1,18,2,6,1
SOFT MAPLE,,,17,18,11.5,1,
HARD MAPLE,,,9,8,,5,
HARD MAPLE,,,9,11,,5,
HARD MAPLE,,,9,12,2,1,
HARD MAPLE,,,9,12,1.5,4,
