spp,t0,t1,t2,t3,t5
ASH,12,12,10,10,4
ASPEN,100,100,10,10,4
FIR,100,100,8,8,4
BASSWOOD,100,100,10,9,4
BEECH,100,100,10,9,4
BLACK CHERRY,12,12,10,9,4
CEDAR,100,100,8,8,4
ELM,100,100,10,10,4
HARD MAPLE,12,12,10,9,4
HEMLOCK,100,100,8,5,4
HICKORY,100,100,10,9,4
HOPHORNBEAM,100,100,10,9,4
PAPER BIRCH,12,12,10,9,4
RED OAK,12,12,10,9,4
RED PINE,100,100,8,8,4
SCOTS PINE,100,100,8,8,4
SOFT MAPLE,12,12,10,9,4
SPRUCE,100,100,5,5,4
STRIPED MAPLE,100,100,10,10,4
TAMARACK,100,100,8,8,4
WHITE OAK,12,12,10,9,4
WHITE PINE,100,100,8,8,4
YELLOW BIRCH,12,12,10,9,4
OTHER HARDWOOD,100,100,10,10,4
OTHER SOFTWOOD,100,100,8,8,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
,,4,,,
