spp,stand,plot,code,dbh,logs,cond,cut
beech,2,403,5,5,,5,
black cherry,,,6,11,92,3,
fir,,,3,11,2222,2,
spruce,,,18,11,22222,2,
fir,,,3,10,2222,6,
spruce,,,18,7,22,2,
white pine,,,22,32,2222222,2,
white pine,,,22,15,2222222,2,
soft maple,,404,17,10,2222,3,1
soft maple,,,17,8,2222,3,1
white pine,,,22,21,2222222,1,
soft maple,,,17,10,2223,3,1
white pine,,,22,20,22222,2,
hard maple,,,9,12,32,3,
soft maple,,405,17,9,2322,3,1
soft maple,,,17,11,32,3,1
soft maple,,,17,9,3322,3,1
soft maple,,,17,11,3223,3,1
ash,,,1,18,222,3,1
paper birch,,,13,10,2222,2,
hard maple,,,9,12,223,2,
hard maple,,,9,12,222,3,1
ash,,,1,15,222,2,1
ash,,305,1,22,2222,3,1
hemlock,,,10,18,2333,3,1
ash,,,1,16,2222,2,1
spruce,,,18,10,2,3,
hard maple,,,9,8,,5,1
yellow birch,,,23,16,2,3,1
hemlock,,,10,14,223,3,
hemlock,,,10,17,2,3,1
fir,,,3,7,,5,1
hemlock,,,10,21,222233,3,1
hard maple,,,9,18,32,3,
fir,,,3,10,22,6,1
soft maple,,,17,12,,5,1
yellow birch,,,23,9,13,2,
hard maple,,,9,14,,5,1
yellow birch,3,306,23,16,212,1,
yellow birch,,,23,13,22,4,1
yellow birch,,,23,18,92,3,
yellow birch,,,23,17,222,1,
ash,,,1,14,2223,4,1
yellow birch,,,23,13,223,4,1
yellow birch,,,23,12,12,2,
yellow birch,,,23,14,212,2,
yellow birch,,,23,12,222,6,1
ash,,,1,9,,6,1
hard maple,,,9,14,2233,3,
yellow birch,,,23,14,12,2,
yellow birch,,,23,13,22,4,1
ash,,,1,13,223,4,1
aspen,,307,2,8,2222,4,1
paper birch,,,13,8,123,3,
paper birch,,,13,4,22,4,1
ash,,,1,9,223,4,1
fir,,,3,9,22222,2,
fir,,,3,4,2222,2,
fir,,,3,6,2222,2,
fir,,,3,7,22222,2,
fir,,,3,5,2222,2,
ash,,,1,6,222,2,
paper birch,,,13,6,12,2,
black cherry,,,6,5,222,4,1
yellow birch,,,23,5,122,1,
hemlock,,,10,22,222222,3,
fir,,308,3,8,222,2,
hard maple,,,9,10,222,2,
fir,,,3,8,222,2,
ash,,,1,8,2222,2,1
hard maple,,,9,9,,5,1
hard maple,,,9,13,333,5,1
paper birch,,,13,16,,5,1
ash,,,1,6,92,3,1
yellow birch,,,23,6,22,3,1
hard maple,,,9,12,2333,2,
soft maple,,,17,11,2322,3,1
ash,,,1,5,222,2,
white pine,,309,22,24,22222223,1,
white pine,,,22,12,222222,4,1
white pine,,,22,22,222222223,1,
white pine,,,22,23,99222223,4,1
soft maple,,,17,15,9223,3,1
soft maple,,,17,8,,5,1
fir,,,3,11,92,6,1
hard maple,,,9,14,32,3,
soft maple,,,17,12,23,4,1
soft maple,,,17,8,,5,1
soft maple,,,17,10,,5,1
soft maple,,,17,12,23,3,1
soft maple,,,17,11,33,5,1
soft maple,,,17,12,2,3,1
soft maple,,,17,12,3,5,1
white pine,,,22,24,222233,3,1
white pine,,,22,18,2222222,2,
white pine,,,22,26,22222,2,
white pine,,,22,22,22222,4,1
white pine,,409,22,21,222222,3,
white pine,,,22,16,22222222,3,1
white pine,,,22,9,,5,1
white pine,,,22,21,22223,3,1
white pine,,,22,14,222222,3,1
white pine,,,22,20,2222223,2,
white pine,,,22,19,3,5,1
fir,,,3,10,2222,2,
white pine,,,22,18,223,3,1
white pine,,,22,14,22,3,1
white pine,,,22,31,333,5,1
white pine,,,22,22,333,5,1
white pine,,,22,26,23,3,1
white pine,,,22,17,22,3,1
white pine,,,22,22,2322,3,1
white pine,,,22,21,2223,3,1
tamarack,,,20,11,222222,3,
black cherry,,,6,12,,5,1
white pine,,410,22,28,,1,
white pine,,,22,16,2222,4,1
white pine,,,22,17,22223,4,1
white pine,,,22,20,323,3,1
white pine,,,22,26,33322,3,1
white pine,,,22,17,22222222,4,1
white pine,,,22,22,3323,3,1
white pine,,,22,13,2222,3,1
white pine,,,22,23,22222222,2,
white pine,,,22,23,3333,5,1
white pine,,,22,13,222222,3,1
white pine,,,22,18,22222222,1,
white pine,,,22,24,2223,4,1
white pine,,,22,17,2222222,4,1
black cherry,,,6,11,,5,1
white pine,,,22,26,33233,3,1
white pine,,,22,19,22222222,1,
black cherry,,,6,12,,5,1
soft maple,,,17,12,,5,1
soft maple,,,17,12,,5,1
white pine,,,22,17,222222222,2,
white pine,,,22,16,22222222,6,1
hard maple,,,9,12,,5,1
hard maple,,,9,10,,5,1
soft maple,,,17,13,22,2,
white pine,,,22,20,22223,4,1
white pine,,,22,18,22222223,2,
yellow birch,,411,23,14,22,2,
yellow birch,,,23,12,222,2,
hard maple,,,9,9,,5,1
fir,,,3,10,222,2,
hemlock,,,10,14,2222,2,
yellow birch,,,23,10,,5,1
ash,,,1,12,2,6,1
hemlock,,,10,8,222,2,
